transaction_date,owner,ticker,asset_type,type,amount,senator,basis,SPY basis
04/01/2021,Spouse,MTCH,Stock,Purchase,"$15,001 - $50,000",Ron L Wyden,141,399
04/15/2021,Self,VPU,Stock,Purchase,"$1,001 - $15,000",Gary C Peters,145,414
04/05/2021,Joint,VZ,Stock,Sale (Full),"$15,001 - $50,000",Ladda Tammy Duckworth,58,405
04/05/2021,Joint,ITW,Stock,Sale (Partial),"$1,001 - $15,000",Ladda Tammy Duckworth,222,405
04/05/2021,Joint,DIS,Stock,Sale (Full),"$1,001 - $15,000",Ladda Tammy Duckworth,189,405
03/05/2021,Joint,RPM,Stock,Sale (Partial),"$15,001 - $50,000",Daniel S Sullivan,82,380
03/03/2021,Spouse,UBSI,Stock,Purchase,"$100,001 - $250,000",Shelley M Capito,38,383
03/09/2021,Spouse,USB,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,53,387
03/09/2021,Spouse,JPM,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,151,387
03/09/2021,Spouse,BLK,Stock,Purchase,"$1,001 - $15,000",Shelley M Capito,714,387
03/24/2021,Spouse,WFC,Stock,Purchase,"$15,001 - $50,000",Shelley M Capito,38,389
03/25/2021,Spouse,C,Stock,Sale (Partial),"$1,001 - $15,000",Shelley M Capito,70,387
04/06/2021,Spouse,AMAT,Stock,Sale (Partial),"$100,001 - $250,000",Ron L Wyden,141,406
04/06/2021,Spouse,KLAC,Stock,Sale (Partial),"$100,001 - $250,000",Ron L Wyden,348,406
04/06/2021,Spouse,STZ,Stock,Sale (Full),"$100,001 - $250,000",Ron L Wyden,233,406
04/06/2021,Spouse,AVGO,Stock,Sale (Full),"$100,001 - $250,000",Ron L Wyden,483,406
04/06/2021,Spouse,INTC,Stock,Sale (Full),"$15,001 - $50,000",Ron L Wyden,65,406
04/06/2021,Child,KLAC,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,348,406
04/06/2021,Child,KLAC,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,348,406
04/06/2021,Child,KLAC,Stock,Sale (Full),"$1,001 - $15,000",Ron L Wyden,348,406
03/26/2021,Self,QRTEP,Stock,Purchase,"$15,001 - $50,000","William F Hagerty, Iv",101,393
02/12/2021,Spouse,CARG,Stock,Purchase,"$1,001 - $15,000",John W Hickenlooper,31,391
02/26/2021,Spouse,STX,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,73,382
02/26/2021,Spouse,AMAT,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,117,382
02/26/2021,Spouse,KLAC,Stock,Purchase,"$1,001 - $15,000",Ron L Wyden,310,382
03/03/2021,Spouse,WFC,Stock,Purchase,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",37,383
02/09/2021,Child,PENN,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,119,389
02/05/2021,Spouse,DD,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,76,387
02/16/2021,Spouse,INTC,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,62,392
01/08/2021,Self,LMND,Stock,Sale (Partial),"$1,001 - $15,000","William F Hagerty, Iv",154,380
