senator,ticker,owner,buybasis,sellbasis,totalamount,earning_rate,first_buy,last_sell,open_state
"David A Perdue , Jr",MDLZ,Joint,43.0,53.0,48750.0,0.23255813953488372,2017-12-26,2020-04-14,0.0
"David A Perdue , Jr",MMP,Joint,68.0,22.82191780821918,44500.0,-0.6643835616438355,2018-09-24,2020-04-15,0.0
"David A Perdue , Jr",MO,Joint,57.0,41.0,8000.0,-0.2807017543859649,2016-01-20,2020-04-14,0.0
"David A Perdue , Jr",MOS,Joint,26.02017937219731,26.731578947368423,460500.0,0.02734030250119061,2018-01-16,2018-12-13,0.0
"David A Perdue , Jr",MPLX,Joint,33.75,25.0995670995671,73750.0,-0.2563091229757896,2019-01-31,2016-07-06,0.0
"David A Perdue , Jr",MRK,Joint,59.2246879334258,67.10767590618337,414750.0,0.13310307319168665,2018-01-16,2017-12-13,0.0
"David A Perdue , Jr",MSFT,Joint,336.0,114.31538461538462,260000.0,-0.659775641025641,2021-11-15,2017-10-27,-1.0
"David A Perdue , Jr",MSM,Joint,56.5,61.5679012345679,36250.0,0.08969736698350263,2020-03-10,2019-09-30,0.0
"David A Perdue , Jr",MU,Joint,41.16267942583732,46.722943722943725,110000.0,0.1350802322556363,2020-03-27,2020-04-14,0.0
"David A Perdue , Jr",NFLX,Joint,360.5,337.0,65000.0,-0.0651872399445215,2020-03-26,2019-10-23,0.0
"David A Perdue , Jr",NKE,Joint,53.144329896907216,85.89041095890411,60750.0,0.6161726213411637,2016-01-20,2020-04-16,0.0
"David A Perdue , Jr",NSC,Joint,276.0,152.0,8000.0,-0.4492753623188406,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",NWS,Joint,8.0,9.0,8000.0,0.125,2020-03-23,2020-04-14,0.0
"David A Perdue , Jr",NWSA,Joint,11.0,9.790123456790123,44250.0,-0.10998877665544332,2020-03-10,2019-09-30,0.0
"David A Perdue , Jr",OKE,Joint,54.8041237113402,62.77777777777778,60250.0,0.14549368781874433,2018-01-05,2019-09-19,0.0
"David A Perdue , Jr",ORCL,Joint,39.01234567901235,51.95294117647059,105250.0,0.33170513775130295,2016-02-05,2019-09-30,0.0
"David A Perdue , Jr",PAA,Joint,31.6,28.71502590673575,100750.0,-0.0912966485210206,2015-02-26,2015-08-07,0.0
"David A Perdue , Jr",PAGP,Joint,15.4,6.0,24000.0,-0.6103896103896104,2019-02-07,2020-04-15,0.0
"David A Perdue , Jr",PBA,Joint,30.333333333333332,27.0,20000.0,-0.10989010989010986,2020-04-07,2019-10-10,0.0
"David A Perdue , Jr",PEP,Joint,101.18556701030928,128.4418604651163,110250.0,0.26936938004241257,2018-04-20,2019-10-28,0.0
"David A Perdue , Jr",PFE,Joint,31.09124087591241,35.07538994800693,425500.0,0.128143778114086,2017-02-06,2018-11-20,0.0
"David A Perdue , Jr",PFE,Spouse,31.0,49.0,32500.0,0.5806451612903226,2017-02-22,2021-11-15,1.0
"David A Perdue , Jr",PG,Joint,79.9058524173028,106.11290322580645,253250.0,0.3279741097265209,2016-01-20,2018-12-20,0.0
"David A Perdue , Jr",PKI,Joint,184.0,60.74666666666667,112500.0,-0.6698550724637681,2021-11-15,2017-09-14,-1.0
"David A Perdue , Jr",PM,Joint,95.0,75.0,8000.0,-0.21052631578947367,2021-11-15,2020-04-16,-1.0
"David A Perdue , Jr",PRU,Joint,110.0,81.5,16000.0,-0.2590909090909091,2021-11-15,2020-04-14,-1.0
"David A Perdue , Jr",PSX,Joint,71.0,78.0,8000.0,0.09859154929577464,2015-08-24,2021-11-15,1.0
